point_index,x,y,z,x_D,y_D,z_D,nut,nutEq_true,nut_pred,delta_nut_true,delta_nut_pred,delta_error,relative_error,ID,ax,theta,z_original,ax_d,z_d
49182,-210.0,-1.7763568e-15,869.2228,-1.6666666,-1.4098071e-17,6.8985934,32.924,9.77517,1.0107822,-23.14883,-31.913218,-8.764387,0.37861037,3,-205.0,-1.5707963267948966,869.2228,-1.626984126984127,6.8985934
49189,-210.0,0.0,896.9783,-1.6666666,0.0,7.118875,32.92148,9.28518,0.9921951,-23.6363,-31.929283,-8.292984,0.35085797,3,-205.0,-1.5707963267948966,896.9783,-1.626984126984127,7.118875
49568,-630.0,1.7763568e-15,702.68945,-5.0,1.4098071e-17,5.5769005,33.447887,17.95146,1.3400497,-15.496428,-32.107838,-16.61141,1.0719509,3,-625.0,-1.5707963267948966,702.68945,-4.9603174603174605,5.5769005
49569,-630.0,-8.881784e-16,730.44495,-5.0,-7.0490355e-18,5.797182,31.652351,12.676003,1.2424583,-18.976349,-30.409893,-11.433544,0.6025155,3,-625.0,-1.5707963267948966,730.44495,-4.9603174603174605,5.797182
49577,-630.0,0.0,758.2005,-5.0,0.0,6.017464,31.291857,16.532543,1.207098,-14.759314,-30.084759,-15.325445,1.0383576,3,-625.0,-1.5707963267948966,758.2005,-4.9603174603174605,6.017464
49585,-630.0,0.0,785.956,-5.0,0.0,6.237746,33.087143,13.777913,1.2778091,-19.30923,-31.809334,-12.500103,0.6473641,3,-625.0,-1.5707963267948966,785.956,-4.9603174603174605,6.237746
49593,-630.0,-8.881784e-16,813.7115,-5.0,-7.0490355e-18,6.458028,33.80935,22.869806,1.3104248,-10.939543,-32.498924,-21.559381,1.9707754,3,-625.0,-1.5707963267948966,813.7115,-4.9603174603174605,6.458028
49601,-630.0,-8.881784e-16,841.46704,-5.0,-7.0490355e-18,6.67831,33.80935,23.340048,1.2944984,-10.469301,-32.51485,-22.04555,2.1057327,3,-625.0,-1.5707963267948966,841.46704,-4.9603174603174605,6.67831
49612,-518.0,0.0,896.9731,-4.111111,0.0,7.118834,32.61478,7.4944844,1.1138287,-25.120296,-31.500952,-6.3806553,0.25400397,3,-513.0,-1.5707963267948966,896.9731,-4.071428571428571,7.118834
49616,-630.0,-8.881784e-16,896.978,-5.0,-7.0490355e-18,7.118873,33.374603,7.265455,1.2220573,-26.109148,-32.152546,-6.043398,0.23146668,3,-625.0,-1.5707963267948966,896.978,-4.9603174603174605,7.118873
49619,-518.0,1.7763568e-15,924.7299,-4.111111,1.4098071e-17,7.339126,33.79384,9.166873,1.1756592,-24.626965,-32.61818,-7.9912148,0.32449046,3,-513.0,-1.5707963267948966,924.7299,-4.071428571428571,7.339126
49620,-546.0,0.0,924.7316,-4.3333335,0.0,7.33914,33.79795,8.712742,1.1891251,-25.085209,-32.608826,-7.523617,0.29992244,3,-541.0,-1.5707963267948966,924.7316,-4.2936507936507935,7.33914
